集數,漢字,臺羅,華語詞義
1,相借問,sio-tsioh-mn̄g,
1,平安,pîng-an,
1,𠢕早,gâu-tsá,
1,食飽未,tsia̍h-pá--buē,
1,久見,kiú-kiàn,
1,罕行,hán-kiânn,
1,食頭路,tsia̍h-thâu-lōo,
1,mè-sih,mè-sih
1,名片,bîng/miâ-phìnn,
1,食早起,tsia̍h tsái-khí,
1,食晝,tsia̍h-tàu,
1,食暗,tsia̍h-àm,
1,啉咖啡,lim ka-pi,
1,食下晡茶,tsia̍h ē-poo-tê,
1,來去,lâi-khì,
1,再會,tsài-huē,
1,順行,sūn-kiânn,
1,敲電話,khà-tiān-uē,
1,幾番,kuí huan,
1,02-2321-3266,
1,咱佗位,lán tó-uī,
1,阮,guán/gún,
